y_type,window,feature,corr,abs_corr,n
car_mm_1y_pct,m5_p5,gro_growthInterestExpense,-0.1719,0.1719,384
car_mm_1y_pct,m5_p5,gro_growthGrossProfit,0.1437,0.1437,384
car_mm_1y_pct,m5_p5,gro_growthGrossProfitRatio,0.142,0.142,384
car_mm_1y_pct,m5_p5,est_revenueHigh,-0.0999,0.0999,383
car_mm_1y_pct,m5_p5,sur_est_revenue,-0.0976,0.0976,383
car_mm_1y_pct,m5_p5,est_revenueAvg,-0.0976,0.0976,383
car_mm_1y_pct,m5_p5,gro_growthInterestIncome,-0.0957,0.0957,384
car_mm_1y_pct,m5_p5,est_revenueLow,-0.0957,0.0957,383
car_mm_1y_pct,m5_p5,sur_actual_revenue,-0.0935,0.0935,384
car_mm_1y_pct,m5_p5,gro_growthNetIncome,0.0919,0.0919,384
car_mm_1y_pct,m5_p5,gro_growthNetIncomeFromContinuingOperations,0.0837,0.0837,384
car_mm_1y_pct,m5_p5,gro_growthOperatingExpenses,-0.0796,0.0796,384
car_mm_1y_pct,m5_p5,est_ebitHigh,-0.0688,0.0688,383
car_mm_1y_pct,m5_p5,gro_growthEPS,0.0652,0.0652,384
car_mm_1y_pct,m5_p5,gro_growthEPSDiluted,0.0652,0.0652,384
car_mm_1y_pct,m5_p5,gro_growthWeightedAverageShsOut,0.065,0.065,384
car_mm_1y_pct,m5_p5,sur_est_ebit,-0.0648,0.0648,383
car_mm_1y_pct,m5_p5,est_ebitAvg,-0.0648,0.0648,383
car_mm_1y_pct,m5_p5,gro_growthOperatingIncome,0.0642,0.0642,384
car_mm_1y_pct,m5_p5,gro_growthNonOperatingIncomeExcludingInterest,-0.063,0.063,384
car_mm_1y_pct,m5_p5,gro_growthRevenue,0.0616,0.0616,384
car_mm_1y_pct,m5_p5,sur_actual_ebitda,-0.0612,0.0612,384
car_mm_1y_pct,m5_p5,gro_growthGeneralAndAdministrativeExpenses,-0.0601,0.0601,384
car_mm_1y_pct,m5_p5,est_ebitLow,-0.06,0.06,383
car_mm_1y_pct,m5_p5,sur_surprise_revenue_pct,0.0588,0.0588,383
car_mm_1y_pct,m5_p5,sur_actual_ebit,-0.0572,0.0572,384
car_mm_1y_pct,m5_p5,gro_growthIncomeBeforeTax,0.0554,0.0554,384
car_mm_1y_pct,m5_p5,sur_actual_netIncome,-0.0536,0.0536,384
car_mm_1y_pct,m5_p5,gro_growthCostAndExpenses,-0.0458,0.0458,384
car_mm_1y_pct,m5_p5,gro_growthNetInterestIncome,0.0439,0.0439,384
car_mm_1y_pct,m5_p5,sur_surprise_eps_pct,0.0417,0.0417,383
car_mm_1y_pct,m5_p5,gro_growthNetIncomeDeductions,0.0411,0.0411,384
car_mm_1y_pct,m5_p5,sur_surprise_ebitda,-0.0388,0.0388,383
car_mm_1y_pct,m5_p5,est_ebitdaHigh,-0.0378,0.0378,383
car_mm_1y_pct,m5_p5,gro_growthEBITDA,0.0374,0.0374,384
car_mm_1y_pct,m5_p5,sur_est_ebitda,-0.0359,0.0359,383
car_mm_1y_pct,m5_p5,est_ebitdaAvg,-0.0359,0.0359,383
car_mm_1y_pct,m5_p5,sur_surprise_ebitda_pct,-0.0347,0.0347,383
car_mm_1y_pct,m5_p5,est_ebitdaLow,-0.0342,0.0342,383
car_mm_1y_pct,m5_p5,est_sgaExpenseHigh,-0.0339,0.0339,383
car_mm_1y_pct,m5_p5,est_sgaExpenseAvg,-0.0326,0.0326,383
car_mm_1y_pct,m5_p5,est_netIncomeHigh,-0.0323,0.0323,383
car_mm_1y_pct,m5_p5,sur_est_netIncome,-0.0321,0.0321,383
car_mm_1y_pct,m5_p5,est_netIncomeAvg,-0.0321,0.0321,383
car_mm_1y_pct,m5_p5,sur_surprise_netIncome_pct,-0.032,0.032,383
car_mm_1y_pct,m5_p5,est_netIncomeLow,-0.0314,0.0314,383
car_mm_1y_pct,m5_p5,est_sgaExpenseLow,-0.0309,0.0309,383
car_mm_1y_pct,m5_p5,sur_surprise_revenue,0.0291,0.0291,383
car_mm_1y_pct,m5_p5,gro_growthIncomeTaxExpense,0.0285,0.0285,384
car_mm_1y_pct,m5_p5,gro_growthEBIT,0.0271,0.0271,384
car_mm_1y_pct,m5_p5,sur_surprise_ebit_pct,-0.0267,0.0267,383
car_mm_1y_pct,m5_p5,gro_growthDepreciationAndAmortization,-0.0255,0.0255,384
car_mm_1y_pct,m5_p5,gro_growthWeightedAverageShsOutDil,0.0252,0.0252,384
car_mm_1y_pct,m5_p5,gro_growthOtherAdjustmentsToNetIncome,-0.0251,0.0251,384
car_mm_1y_pct,m5_p5,gro_growthOtherExpenses,-0.0189,0.0189,384
car_mm_1y_pct,m5_p5,est_numAnalystsEps,-0.018,0.018,383
car_mm_1y_pct,m5_p5,sur_quarter_rank,0.0172,0.0172,384
car_mm_1y_pct,m5_p5,sur_surprise_eps,0.0152,0.0152,383
car_mm_1y_pct,m5_p5,gro_fiscalYear,0.014,0.014,384
car_mm_1y_pct,m5_p5,sur_est_eps,-0.0132,0.0132,383
car_mm_1y_pct,m5_p5,est_epsAvg,-0.0132,0.0132,383
car_mm_1y_pct,m5_p5,est_epsLow,-0.0128,0.0128,383
car_mm_1y_pct,m5_p5,sur_surprise_netIncome,-0.0104,0.0104,383
car_mm_1y_pct,m5_p5,gro_growthCostOfRevenue,0.0102,0.0102,384
car_mm_1y_pct,m5_p5,est_epsHigh,-0.0094,0.0094,383
car_mm_1y_pct,m5_p5,gro_growthResearchAndDevelopmentExpenses,0.0072,0.0072,384
car_mm_1y_pct,m5_p5,gro_growthSellingAndMarketingExpenses,-0.0065,0.0065,384
car_mm_1y_pct,m5_p5,est_numAnalystsRevenue,0.0042,0.0042,383
car_mm_1y_pct,m5_p5,sur_actual_eps,-0.003,0.003,384
car_mm_1y_pct,m5_p5,gro_growthTotalOtherIncomeExpensesNet,0.0019,0.0019,384
car_mm_1y_pct,m5_p5,sur_surprise_ebit,0.0,0.0,383
car_mm_1y_pct,p0_p10,sur_actual_ebitda,-0.1148,0.1148,384
car_mm_1y_pct,p0_p10,gro_growthGrossProfitRatio,0.1129,0.1129,384
car_mm_1y_pct,p0_p10,gro_growthGrossProfit,0.1118,0.1118,384
car_mm_1y_pct,p0_p10,sur_actual_ebit,-0.1109,0.1109,384
car_mm_1y_pct,p0_p10,sur_actual_netIncome,-0.1055,0.1055,384
car_mm_1y_pct,p0_p10,sur_actual_revenue,-0.0937,0.0937,384
car_mm_1y_pct,p0_p10,est_revenueHigh,-0.093,0.093,383
car_mm_1y_pct,p0_p10,sur_est_revenue,-0.0928,0.0928,383
car_mm_1y_pct,p0_p10,est_revenueAvg,-0.0928,0.0928,383
car_mm_1y_pct,p0_p10,est_revenueLow,-0.091,0.091,383
car_mm_1y_pct,p0_p10,est_ebitHigh,-0.0886,0.0886,383
car_mm_1y_pct,p0_p10,est_netIncomeHigh,-0.0875,0.0875,383
car_mm_1y_pct,p0_p10,sur_est_ebit,-0.087,0.087,383
car_mm_1y_pct,p0_p10,est_ebitAvg,-0.087,0.087,383
car_mm_1y_pct,p0_p10,sur_est_netIncome,-0.0861,0.0861,383
car_mm_1y_pct,p0_p10,est_netIncomeAvg,-0.0861,0.0861,383
