ticker,n_events,car_mm_1q_m10_p10_pct,car_mm_1q_m1_p1_pct,car_mm_1q_m5_p5_pct,car_mm_1q_p0_p10_pct,car_mm_1q_p0_p1_pct,car_mm_1q_p0_p5_pct,car_mm_1y_m10_p10_pct,car_mm_1y_m1_p1_pct,car_mm_1y_m5_p5_pct,car_mm_1y_p0_p10_pct,car_mm_1y_p0_p1_pct,car_mm_1y_p0_p5_pct,car_simple_m10_p10_pct,car_simple_m1_p1_pct,car_simple_m5_p5_pct,car_simple_p0_p10_pct,car_simple_p0_p1_pct,car_simple_p0_p5_pct,news__nw_lm_constr_prop__all,news__nw_lm_constr_prop__post,news__nw_lm_constr_prop__post_minus_pre,news__nw_lm_constr_prop__pre,news__nw_lm_lit_prop__all,news__nw_lm_lit_prop__post,news__nw_lm_lit_prop__post_minus_pre,news__nw_lm_lit_prop__pre,news__nw_lm_neg_prop__all,news__nw_lm_neg_prop__post,news__nw_lm_neg_prop__post_minus_pre,news__nw_lm_neg_prop__pre,news__nw_lm_pos_prop__all,news__nw_lm_pos_prop__post,news__nw_lm_pos_prop__post_minus_pre,news__nw_lm_pos_prop__pre,news__nw_lm_tone__all,news__nw_lm_tone__post,news__nw_lm_tone__post_minus_pre,news__nw_lm_tone__pre,news__nw_lm_unc_prop__all,news__nw_lm_unc_prop__post,news__nw_lm_unc_prop__post_minus_pre,news__nw_lm_unc_prop__pre,tr__tr_lm_constr_prop__all__all,tr__tr_lm_constr_prop__prepared__all,tr__tr_lm_constr_prop__qa__all,tr__tr_lm_lit_prop__all__all,tr__tr_lm_lit_prop__prepared__all,tr__tr_lm_lit_prop__qa__all,tr__tr_lm_neg_prop__all__all,tr__tr_lm_neg_prop__prepared__all,tr__tr_lm_neg_prop__qa__all,tr__tr_lm_pos_prop__all__all,tr__tr_lm_pos_prop__prepared__all,tr__tr_lm_pos_prop__qa__all,tr__tr_lm_tone__all__all,tr__tr_lm_tone__prepared__all,tr__tr_lm_tone__qa__all,tr__tr_lm_unc_prop__all__all,tr__tr_lm_unc_prop__prepared__all,tr__tr_lm_unc_prop__qa__all
AAPL,20,-0.06598379373859833,-0.7184745626933304,-0.10716418729654273,-0.6035723020194458,-0.7201183728697843,-0.5584122410244128,-0.3706070356686944,-0.935683081864801,-0.3057947104996585,-0.7594168947024089,-0.8544391880411057,-0.6625918053226315,0.6440111685253662,-0.7728811150710472,0.21524400940369331,-0.3069648522797081,-0.8031382694364853,-0.4879890253302087,0.002969919833328465,0.002801051998579245,-0.0002646883393993837,0.003065740337978645,0.00898744858061242,0.01015444035858016,0.00114356000182341,0.009010880356756725,0.027116867582046195,0.03159870679596798,0.00556658380880875,0.026032122987159224,0.0244438569544666,0.02541294247835607,0.002098748745123915,0.023314193733232125,-0.00267301062757956,-0.006185764317611915,-0.0034678350636848194,-0.002717929253927085,0.016076503978156565,0.01554682744839428,-0.0008866444898861399,0.0164334719382804,0.00408018912297499,0.0037286322547547502,0.0044367151284928855,0.001132254669711285,0.001113980994304355,0.0011350304209076351,0.0142163271975693,0.009918169778911506,0.018238724937769485,0.03700685443767973,0.04469542349053684,0.029771801742999177,0.022790527240110357,0.03477725371162527,0.01153307680522965,0.01623053968595484,0.01032033222202325,0.02182522511606757
ABBV,20,-0.3522834191534819,0.8802512195276663,1.0238594915927055,0.3400899860897364,1.1718520154579162,0.9146721019505571,0.17863823717339322,0.8923247128233701,1.2898013913365753,0.6946842547439467,1.0925281325853562,0.9975593223827595,0.33241927308234887,1.0200118059261514,1.1650878798057343,0.713121215678838,1.201669165866911,0.9194107033874342,0.001623276785249905,0.00140367673345743,-0.0003785016893612415,0.0017821784228186752,0.00908172444089048,0.010297198613595751,0.002060966966573965,0.008236231647021785,0.02877464535886736,0.03074308170535347,0.0028643395798614076,0.027878742125492056,0.028398054882369028,0.03217213692017895,0.00621770933693732,0.025954427583241613,-0.0003765904764983346,0.0014290552148254804,0.0033533697570759203,-0.0019243145422504454,0.013195770494451694,0.015380326771370346,0.0032616653824741903,0.012118661388896135,0.0021509079105662,0.002418352868608145,0.0018719375626026751,0.003950036507779635,0.005408432775188795,0.0028434883533732897,0.01884073077994523,0.01206618532041447,0.022915464679477634,0.03564742891817885,0.04195496924318169,0.03140865417032608,0.01680669813823357,0.029888783922767177,0.008493189490848435,0.02435967656892794,0.023167890414580766,0.02444786468453908
AMD,20,2.2676118229552626,-0.1459001501437282,3.0868694877500484,1.8808153570868136,0.7885452256738197,2.4965219478690095,2.464399293613988,-0.002443303663435259,3.40979222096223,1.6519441218081283,0.763129858122995,2.5249151486617825,4.675722837867186,-0.02650603782683878,4.650076591198363,2.9560254617211155,0.4904537376664887,2.9139640056311356,0.0011134336496191799,0.001012577981514625,-0.00023483924936245002,0.0012474172308770749,0.0009280322544875351,0.000935865392183355,-2.202771321201998e-05,0.000957893105395385,0.020820771456113215,0.021263279810942854,0.0005768853045306851,0.02068639450641217,0.03422938476037301,0.03533205805780892,0.002990945516768063,0.032341112541040856,0.01340861330425977,0.01406877824686604,0.002414060212237365,0.011654718034628645,0.01539681787348777,0.01431286732694002,-0.0023080776470055728,0.01662094497394559,0.0017998317372538298,0.000668335700908575,0.0022354160331131997,0.00039782904274229,0.0006086972585929,0.000318922907663685,0.011122446986542975,0.005226852342608535,0.013497107261279905,0.038003473185244496,0.04430476514258815,0.03540066516738468,0.026881026198701474,0.03907791279997958,0.02190355790610471,0.016307909988652954,0.010216753200266115,0.018837194785338764
AMZN,20,-0.5988129781126179,-0.1458287199211264,-1.2564583084745162,-1.381651205634219,-0.25866718927774895,-1.1837098406935165,-0.37441626589702537,-0.025416972740342027,-0.9628823746223647,-1.2462035229843762,-0.134879699825124,-1.0279409922193588,0.4507178637987489,-0.10128123150267845,-0.7711701896590675,-0.773905577566798,-0.17824658753194594,-0.8398249155000673,0.0032598578512573646,0.00251592174800281,-0.0011055787569535177,0.003621500504956355,0.0062389072041183795,0.007203843452960855,0.0014542326113967604,0.0057496108415641105,0.022750088264356105,0.02552821421422676,0.00379446718734268,0.021733747026884083,0.026096961524096844,0.028362493586253236,0.004012175641364063,0.024350317944889142,0.0033468732597407105,0.002834279372026475,0.00021770845402139475,0.002616570918005055,0.011576310621838776,0.012788344188953754,0.0018441034983082368,0.0109442406906455,0.00253894691081302,0.002904005774041405,0.0024450806306,0.00134556663917637,0.003671903550302125,0.0005691051229366201,0.01298015993602222,0.014648754966423861,0.01334457628853975,0.03412934342695011,0.028261961796878326,0.03352713674367334,0.021149183490927845,0.013613206830454444,0.020182560455133537,0.017415251938322274,0.02973443368690908,0.016054821983036795
AVGO,20,4.27360053302552,2.733643545565662,3.787571010358019,1.4286847018361084,0.48967943948270687,1.023808226740268,4.790918024711817,2.724034141918115,4.065195924236079,1.8428676762797278,0.48693384248556015,1.291938249485764,7.118265850456973,2.730647021207408,4.817020239822368,3.1097084472679573,0.3629694810260672,1.7224482721421395,0.001123248930097095,0.0014002196533667451,0.0005867630084535799,0.0008134566449131501,0.0023809047853169353,0.0019619902969664647,-0.0017006828821298802,0.003662673179096345,0.016276030647217696,0.018514085357377124,0.004190039943620435,0.014324045413756675,0.033294084137270766,0.03802177055801258,0.00849053017959503,0.029531240378417513,0.017018053490053024,0.019507685200635404,0.004300490235974595,0.0152071949646608,0.016002473623178838,0.016209310050460175,-0.00018902024987755046,0.016398330300337743,0.0019800437333272448,0.00096212654047244,0.002544616758159235,0.0016788398195854651,0.002199376756405345,0.001360260987017465,0.014755651145857796,0.007754036097424285,0.01929681272657582,0.021049552477428454,0.0171295362476131,0.0232927504781715,0.00629390133157063,0.009375500150188764,0.003995937751595655,0.01955897035758229,0.013493504177305885,0.023417160502588193
BAC,20,0.49613854534342705,1.0392690110723783,0.059772532544195234,-0.6651145283750379,0.08564401532183422,-0.521341590969802,0.7555920873837993,1.075639904211358,0.3668464635695658,-0.41034409442104564,0.12539891325791386,-0.3465908969771621,1.1258056660715952,1.168494051802257,0.5201689082016323,-0.2661025450268346,0.16589982159231714,-0.26500361424488605,0.001423459150488335,0.0018375002168361898,0.0008597881124218301,0.00097771210441435,0.002265923049655295,0.002767681030976975,0.0010688156820473698,0.0016988653489295902,0.02094846751221831,0.020985096388178914,0.0006566215753245278,0.0203284748128544,0.025844361406901818,0.028653789903699933,0.00487207981037365,0.023781710093326264,0.004895893894683491,0.0076686935155209955,0.0042154582350491365,0.0034532352804718448,0.016642015539277195,0.014359720557555689,-0.00471189112973329,0.019071611687288995,0.001922075219505865,0.001186296129837955,0.0020222652514938,0.002119260732026425,0.0009411880080437999,0.002385756301311535,0.017924098284805172,0.013752031424907904,0.019176393155392997,0.02820823961418268,0.03463311491388359,0.026739659947013862,0.010284141329377475,0.020881083488975646,0.00756326679162084,0.015059772778904454,0.013978295522243538,0.015736297885849147
GOOGL,20,-0.7975688128325531,0.03593319420705077,0.18574195823516443,-1.9121853179015826,-0.7894979429140281,-1.8068239234018306,-0.5913911810058986,0.1285724809771835,0.34555265890444187,-1.7693461466406326,-0.7174807401263542,-1.7252445689207483,0.3619569091998917,0.15406587955212026,0.8971031660919342,-1.3586622156755008,-0.6434180386309121,-1.3268327644681417,0.0021896224501355846,0.0022752894729517253,0.00015184689196744023,0.0021234425809843046,0.016640646146501625,0.01271309135709044,-0.008170530229671031,0.020883621586761474,0.03743021931723,0.03482998868359445,-0.00481238841191491,0.039642377095509385,0.026200560981483968,0.02891820963390395,0.006028361458215387,0.02288984817568854,-0.011229658335746014,-0.005911779049690485,0.010840749870130326,-0.016752528919820837,0.01442880378273885,0.014851361433748156,0.0007396646994235499,0.014111696734324566,0.001440543693726065,0.00140124315337693,0.00142051631303438,0.000875016587334795,0.0008300478803682801,0.00083031947760152,0.01129161514679344,0.00770454154258714,0.01504808586246334,0.04203135878771494,0.03971789574852361,0.04274842205474351,0.030739743640921448,0.032013354205936415,0.027700336192280118,0.01046717439903284,0.009885184486329884,0.014019790807951965
HD,20,-0.6592896496491399,-0.11047550505846308,-0.4121001331174444,0.672664905727544,0.22312471513783544,0.5131228005379788,-1.111570070915324,-0.20637488659581904,-0.6446640301335466,0.39286886437096225,0.15123736950580766,0.3948522623028748,-1.1075771912964283,-0.06066635693751623,-0.5879644150181538,0.49766109429344657,0.24897099749672608,0.43939132169700257,0.00088734553835308,0.0010064120025671899,0.00025434559505263,0.0007520664075145701,0.001007225662954055,0.00138508910429005,0.00088170483873392,0.000503384265556135,0.023120453875122272,0.02468175945451928,0.0031453417917458397,0.021536417662773435,0.03389631748288841,0.036829960344731266,0.00563086600689047,0.031199094337840776,0.010775863607766105,0.012148200890211961,0.0024855242151446298,0.009662676675067315,0.01433720692665336,0.014132109888524138,8.200325973082156e-05,0.01405010662879331,0.00129027647164296,0.00209838894430162,0.000674907141163925,0.0009369230854108851,0.0009770502674777699,0.00091567682976171,0.015074551572237024,0.014110220323293909,0.015534185363938306,0.03989923881439643,0.04975469763372455,0.032466567647758154,0.024824687242159353,0.03564447731043059,0.0169323822838198,0.020181242019411974,0.022873454856946134,0.01791734124717197
JNJ,20,0.43065526569496093,0.7732661970593819,1.2910262143438627,-0.19508906564407194,-0.0743497228274135,0.3985779225422747,0.8581590247569446,0.9122320431433245,1.6186860979383515,0.07396762978125411,-0.015032855425631108,0.5372048458357797,0.06393791226407167,0.9593594224734743,0.7470807180569599,-0.4991340933330438,0.12082729396901684,0.5306468893014982,0.0018763065615740701,0.0020810171087462153,0.000662006212864605,0.0014190108958816098,0.01438289789229474,0.01628133499514465,0.0028554757430056432,0.01342585925213896,0.0324847311494402,0.031802401740118065,-0.001250897167781425,0.0330532989078995,0.026444465161809,0.028222322768812463,0.0032201215543115544,0.02500220121450091,-0.00604026598763121,-0.0035800789713055755,0.004471018722092974,-0.008051097693398564,0.017079595534086844,0.0166443631064404,-2.3037429297894945e-05,0.01666740053573826,0.0025988182550927452,0.00132715127333789,0.0027973054441546947,0.004053394291076226,0.002188751797018635,0.004498679533490235,0.020274576710951113,0.02262096732838702,0.02047121876570695,0.04400977234849506,0.03975292944289866,0.045200151566953894,0.023735195637543893,0.017131962114511606,0.024728932801246904,0.018450736167778845,0.023740235651847515,0.019593737422800524
JPM,20,-0.9023043819866512,0.2360819605997609,0.49437811987674457,-0.9768402110879929,0.366748638900992,0.037835124398206375,-0.7354703703340721,0.2943024498271844,0.6631548863904101,-0.8188687401269765,0.3843085456149816,0.12467209206538973,0.32184121251373343,0.42847672031157574,1.2242858346892418,-0.2395118897423532,0.4348805123594258,0.45043880225603045,0.0023940321924065247,0.00246738619942185,0.0002648194939871984,0.0022025667054346347,0.003424784888347175,0.004043220907755446,0.0017135702030213098,0.00232965070473413,0.022984907306721026,0.02364396874678119,0.001699285111261465,0.021944683635519716,0.02596802128559204,0.02791599536580852,0.0045249334281905595,0.02339106193761793,0.0029831139788710154,0.004272026619027305,0.0028256483169291245,0.0014463783020981797,0.012798248790310445,0.012437361524946493,-0.0007863143138455199,0.013223675838792026,0.00265778041890409,0.001513638979482905,0.002912815315706575,0.002617790951750635,0.0014084085667046,0.00297590667756787,0.024036483422899723,0.014056811644601569,0.02739441038038442,0.020104255684550945,0.02131255681673292,0.01992993747368012,-0.003932227738348755,0.00725574517213132,-0.007464472906704281,0.025369993454858224,0.011832077365413354,0.029854722950002292
